Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Especificaciones_Tec_1 (product.metafields.custom.caracteristicas),Caracteristica_1 (product.metafields.custom.caracteristica_1),Caracteristica_2 (product.metafields.custom.caracteristica_2),Característica_3 (product.metafields.custom.caracteristica_3),Característica_4 (product.metafields.custom.caracteristica_4),Característica_5 (product.metafields.custom.caracteristica_5),Caracteristica_6 (product.metafields.custom.caracteristica_6),Color (product.metafields.custom.color),Descripción (product.metafields.custom.descripcion),Dimensiones (product.metafields.custom.dimensiones),Peso (kg) (product.metafields.custom.peso_kg),SKU (product.metafields.custom.sku),Titulo_1 (product.metafields.custom.titulo_1),Titulo_2 (product.metafields.custom.titulo_2),Titulo_3 (product.metafields.custom.titulo_3),Titulo_4 (product.metafields.custom.titulo_4),Titulo_5 (product.metafields.custom.titulo_5),Titulo_6 (product.metafields.custom.titulo_6),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Número de calificaciones del producto (product.metafields.reviews.rating_count),Automatización (product.metafields.shopify.automation),Tipo de entrada de café (product.metafields.shopify.coffee-input-type),Color (product.metafields.shopify.color-pattern),Tipo de caldera de máquina espresso (product.metafields.shopify.espresso-boiler-type),Material (product.metafields.shopify.material),Sistema de espumado de leche (product.metafields.shopify.milk-frothing-system),Tipo de montura (product.metafields.shopify.mounting-type),Fuente de alimentación (product.metafields.shopify.power-source),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cecotec-licuadora-grand-katana-2700max-total-destroy-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/14d39044-c6bb-4eca-a939-5ddc3b2d0caa.jpg?v=1778601405,7,jpg_1500x1500_70369163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
philips-cafetera-5000-licuadora-ep5544-hr2263,Philips Cafetera 5000 + Licuadora (EP5544 + HR2263),Philips Cafetera 5000 + Licuadora (EP5544 + HR2263),Philips,Sin categoría,"","",false,Title,Default Title,,,,,,,,EP5544 + HR2263,11000.0,shopify,29,deny,manual,12099.00,21998.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0671/3609/4250/files/f7d934b2-e7da-49f7-a501-741432076410.jpg?v=1775578604,1,jpg_1500x1500_69910193,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
philips-freidora-licuadora-shake-na331-hr2263,Philips Freidora + Licuadora Shake (NA331 + HR2263),Philips Freidora + Licuadora Shake (NA331 + HR2263),Philips,Sin categoría,"","",true,Title,Default Title,,,,,,,,NA331 + HR2263,10000.0,shopify,9,deny,manual,3999.00,5998.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0671/3609/4250/files/99c24ae2-534e-4622-9b25-ade6442c1825.jpg?v=1775578606,1,jpg_1500x1500_69877906,false,,,,,,,,,,,,,,,,,,,,,,,,,NA331 + HR2263,,,,,,,,,,,,,,,,,,kg,,,active
philips-cafetera-barista-licuadora-psa3218-hr2244,Philips Cafetera Barista + Licuadora (PSA3218 + HR2244),Philips Cafetera Barista + Licuadora (PSA3218 + HR2244),Philips,Sin categoría,"","",true,Title,Default Title,,,,,,,,PSA3218 + HR2244,12500.0,shopify,29,deny,manual,17999.00,26198.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0671/3609/4250/files/123050b1-c382-4b8a-ba30-eb677291cb4d.jpg?v=1775578607,1,jpg_1500x1500_69878262,false,,,,,,,,,,,,,,,,,,,,,,,,,PSA3218 + HR2244,,,,,,,,,,,,,,,,,,kg,,,active
philips-horno-licuadora-ai551-hr2244,Philips Horno + Licuadora (AI551 + HR2244),Philips Horno + Licuadora (AI551 + HR2244),Philips,Sin categoría,"","",true,Title,Default Title,,,,,,,,AI551 + HR2244,12500.0,shopify,30,deny,manual,4199.00,7198.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0671/3609/4250/files/e6b10d6f-0da9-4568-ae13-3d70634f05dd.jpg?v=1775578602,1,jpg_1500x1500_69878246,false,,,,,,,,,,,,,,,,,,,,,,,,,AI551 + HR2244,,,,,,,,,,,,,,,,,,kg,,,active
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-hr2263-95,Licuadora Philips Serie 3000 de 1200 W con Jarra de Tritan - HR2263/95,"""La licuadora Philips HR2263/95 está equipada con un motor de 1200 W, que garantiza licuados rápidos y eficientes. Incorpora cuchillas con tecnología ProBlend y ofrece hasta 12 velocidades, además de la función Pulse, lo que permite un control preciso para lograr desde texturas suaves hasta mezclas densas.<br>Su jarra con diseño tipo diamante de 3 litros fabricada de Tritán y libres de BPA, son aptos para lavavajillas, lo que la hace ideal para el uso diario.<br>Además, integra un sistema de seguridad que evita el funcionamiento si no está correctamente ensamblada, y cuenta con patas antideslizantes para mayor estabilidad.<br>Gracias a sus cuchillas adicionales, puedes preparar una variedad de bebidas.""",Philips Home,Sin categoría,"","",true,Title,Default Title,,,,,,,,HR2263/95,2540.0,shopify,10,deny,manual,1879.00,1699.00,true,false,,,,,'8720389074943,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/0c102100-474c-4032-b856-a6db4ff7ec64.jpg?v=1775074604,1,jpg_1500x1500_67893101,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-hr2263-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/89f3fdb3-31bc-4ff7-882f-7227f0f42b8e.jpg?v=1775074604,2,jpg_1500x1500_67893113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-hr2263-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/7ffbbbb3-2ee9-4ee5-aab7-7641219c00ce.jpg?v=1775074604,3,jpg_1500x1500_67893119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-hr2263-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/e66318bb-e110-44bc-8c3e-0590c06452b4.jpg?v=1775074604,4,jpg_1500x1500_67893122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licuadora-philips-serie-3000-de-1200-w-con-jarra-de-tritan-hr2263-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/3609/4250/files/31a02389-f161-4b57-8d23-369515658fd0.jpg?v=1775074604,5,jpg_1500x1500_67893133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
